etime,close
2014/10/14,2644
2014/10/15,2652
2014/10/16,2642
2014/10/17,2648
2014/10/20,2607
2014/10/21,2610
2014/10/22,2563
2014/10/23,2538
2014/10/24,2541
2014/10/27,2550
2014/10/28,2545
2014/10/29,2563
2014/10/30,2595
2014/10/31,2577
2014/11/3,2562
2014/11/4,2550
2014/11/5,2546
2014/11/6,2525
2014/11/7,2530
2014/11/10,2560
2014/11/11,2550
2014/11/12,2555
2014/11/13,2531
2014/11/14,2523
2014/11/17,2519
2014/11/18,2462
2014/11/19,2445
2014/11/20,2447
2014/11/21,2436
2014/11/24,2456
2014/11/25,2436
2014/11/26,2442
2014/11/27,2488
2014/11/28,2542
2014/12/1,2525
2014/12/2,2520
2014/12/3,2518
2014/12/4,2563
2014/12/5,2562
2014/12/8,2572
2014/12/9,2529
2014/12/10,2556
2014/12/11,2575
2014/12/12,2578
2014/12/15,2582
2014/12/16,2544
2014/12/17,2540
2014/12/18,2538
2014/12/19,2559
2014/12/22,2529
2014/12/23,2477
